Course ID,Subject code,Catalog Number,Offering Unit,Course Title,Course Description,Min Units,Max Units,Repeatable for Credit,Total Completions Allowed,Total Units Allowed,Grading Basis,Components,Course Attributes,Enrollment Requirements,Course Requisites
38696,ECON,309,Economics,European Economic History until the Industrial Revolution,The purpose of the class is to provide students with a firm understanding of the historical development of economic thought.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,-
7980,ECON,313,Agricultural & Applied Econ,Economics of Futures Markets,"Commodity and financial futures market participants, evolution, functions, performance, price determination, and regulation with hedging and speculative applications of futures and futures-options contracts.",3.0,3.0,No,1,3.0,OPT - Student Option,Lecture,CE - CL (Cross Listed),015995,-
12821,ECON,323,Economics,Economics of Sports,Analysis of the economics of professional and intercollegiate sports.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,"Familiarity with US major sports and leagues (e.g. MLB, NFL, NBA, etc.) is strongly recommended to be successful in this course. If you have issues enrolling or plan to enroll in prerequisite courses during Summer/Winter, email econreg@eller.arizona.edu."
12822,ECON,325,Economics,Historical Development of Financial and Economic Institutions,"Historical development of securities markets. Topics include financial scandals, early origins of Wall Street, the Robber Barons, the Crash of 1929, up to the Enron crisis.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,"If you have issues enrolling or or intend to enroll in the prerequisite courses ECON 200 or 201A/B during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12823,ECON,330,Economics,Macroeconomic and Global Institutions and Policy,"The study of how the macroeconomy is affected by institutions, technology and other forces, and governmental policy.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,CE - ME (Mutually Exclusive),015607,"If you have issues enrolling for Summer/Winter Sessions, please send your enrollment request to:  econreg@eller.arizona.edu."
38021,ECON,331,Economics,Macroeconomic Analysis and Policy,"The purpose of the class is to provide students with a firm understanding of the structure and workings of the macro-economy; how macroeconomic variables such as national income, the price level, the unemployment rate, and interest rates are determined in various macroeconomic environments; and how government policies and the financial system can impact macroeconomic performance.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,016154,-
12824,ECON,332,Economics,Intermediate Macroeconomics,"Analysis of output, employment, interest rates, and the price level; the effects of these on changes in monetary and fiscal variables.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,CE - ME (Mutually Exclusive),015972,"If you have issues enrolling or intend to enroll in the  prerequisite courses ECON 200 or 201A/B and either MATH 113, 116, 122A/B, or 125  during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
42232,ECON,337,Economics,The Economics of Politics and Policymaking,"This course examines the constraints that politics imposes on implementing public policy.  It has three major substantive themes: (i) the normative foundations of policy making, (ii) how strategic interactions give rise to social dilemmas and, in turn, creates room for government to improve social welfare, and (iii) how technological, institutional, and strategic constraints can impede improvements in social welfare. 

The course uses the tools of Economics to address these questions.  Toward that end, along the way, the course will introduce basic game theory. Game theory is a mathematical tool used to study strategic behavior and strategic situations. As such, it is a critical tool for understanding the substantive issues discussed above. Understanding basic game theory is a valuable skill in its own right; it helps us predict and understand how people and organizations will behave in response to changes in the policy environment.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,-,-
39383,ECON,338,Economics,Law and Economics,"This course uses economic analysis to analyze the basic common law areas of property, contract, tort, and criminal law. Economic tools are used both to understand the basic structure of the law, and to suggest how the law might be made more efficient. The course assesses whether individuals or collective action (courts) are better for addressing market failures. Transaction costs and litigation costs (among other things) are crucial to the assessment.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,-
7982,ECON,339,Agricultural & Applied Econ,Economic Statistics,Application and interpretation of statistical measures to problems in economics.,3.0,3.0,No,1,3.0,OPT - Student Option,Lecture,CE - CL (Cross Listed),015744,"Credit allowed for only one of these courses: AREC 339, ECON 376, MAP 376, MKTG 376."
12826,ECON,340,Economics,International Economics and Policy,"Normative and positive aspects of international trade and international monetary economics, with attention drawn to government policy as it relates to international commercial relations. Not available to students who are enrolled in or have completed ECON 442 or ECON 443.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 200 or 201A/B for Summer/Winter Sessions, please send your enrollment request to:  econreg@eller.arizona.edu."
12827,ECON,342,Economics,Economics of Latin America,Analysis of the structure and development of Latin American economics.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,"If you have issues enrolling or or intend to enroll in the prerequisite courses ECON 200 or 201A/B during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12828,ECON,361,Economics,Intermediate Microeconomics,"Determination of prices and quantities in product and factor markets. If you have dropped ECON 361 with a W, contact econreg@eller.arizona.edu and repeatability will be reviewed on a case by case basis.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015971,"If you have issues enrolling or intend to enroll in the  prerequisite courses ECON 200 or 201A/B and either MATH 113, 116, 122A/B, or 125  during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
38486,ECON,370,Economics,China's Economic Development,The purpose of the class is to provide students with a firm understanding of the transformation that has taken place in the economy of China during the past several decades.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,ECON 200 or ECON 201A/B.
12829,ECON,371,Economics,Economic Development,Analysis of the economic development process of newly developing nations.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,"If you have issues enrolling or or intend to enroll in the prerequisite courses ECON 200 or 201A/B during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
35781,ECON,373,Economics,Environmental Economics,Analysis of current environmental problems and their potential solutions.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,CE - CL (Cross Listed),018028,"If you have issues enrolling or or intend to enroll in the prerequisite courses ECON 200 or 201A/B during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12833,ECON,382,Economics,Labor and Public Policy,"Economic and legal analysis of the issues and problems arising out of executive, legislative, and judicial efforts to define the rights, duties, and responsibilities of labor and management in the field of industrial relations.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018029,"If you have enrollment issues, please email econreg@eller.arizona.edu for assistance."
12836,ECON,391,Economics,Preceptorship,"Specialized work on an individual basis, consisting of instruction and practice in actual service in a department, program, or discipline. Teaching formats may include seminars, in-depth studies, laboratory work and patient study.",1.0,3.0,Yes,99,999.0,"SPF - Alternative Grading S, P, F",Independent Study,-,-,-
12838,ECON,396H,Economics,Honors Proseminar,"The development and exchange of scholarly information, usually in a small group setting. The scope of work shall consist of research by course registrants, with the exchange of the results of such research through discussion, reports, and/or papers.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Seminar,HNRS - HCRS (Honors Course),015056,-
12839,ECON,399,Economics,Independent Study,Qualified students working on an individual basis with professors who have agreed to supervise such work.,1.0,3.0,Yes,99,999.0,"SPF - Alternative Grading S, P, F",Independent Study,-,-,-
12840,ECON,399H,Economics,Honors Independent Study,Qualified students working on an individual basis with professors who have agreed to supervise such work.,1.0,3.0,Yes,99,999.0,"GRD - Regular Grades A, B, C, D, E",Independent Study,HNRS - HCRS (Honors Course),015056,-
36096,ECON,400,Economics,Economic Strategy for Business Decisions,The use of microeconomic analysis to formulate sound economic strategies for businesses of various types.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,-,Students must have completed ECON 300. This course is intended for Eller College Business Majors. Economics and Business Economics students are not eligible to take this class.
41556,ECON,405,Economics,Economic Models of Discrimination,"Not all difference results from discrimination. Not all discrimination results in observable differences. This course focuses on issues of difference and discrimination associated primarily with race, but also other markers of difference, including gender, sexual orientation, national origin, etc. A critical skill for economic analysis of discrimination is econometric method, and so in this course we will look carefully at the ways in which econometrics is used to address questions of discrimination, and critically evaluate these models and the studies that rely upon them.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,CE - CL (Cross Listed),015609,-
12843,ECON,406,Economics,Introduction to Experimental Economics,"Lab experimental studies of economic behavior; applications to monopoly, bilateral bargaining, and competitive markets under various exchange rules; speculation, voting processes, public goods.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,"SEA - DI (Discovery), SEC - INC (Innovation and Creativity)",015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12844,ECON,407,Economics,Economics of Strategy,"The microeconomics of strategy; the economics of imperfect information and uncertainty, externalities and public goods, and imperfect competition.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,"SEA - DI (Discovery), SEC - SUS (Sustainability)",015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
35097,ECON,410,Economics,Topics in Economics Analysis,Study of selected important and current issues in economics while stressing the underlying analytical structure.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,-,-
35198,ECON,410,Economics,Topics in Economics Analysis,Study of selected important and current issues in economics while stressing the underlying analytical structure.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,-,-
12848,ECON,418,Economics,Introduction to Econometrics,"Statistical methods in estimating and testing economic models; single and simultaneous equation estimation, identification, forecasting, and problems caused by violating classical regression model assumptions.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015610,"If you have issues enrolling or intend to enroll in the prerequisite courses (AREC/ECON 339 or MGMT/ECON 276) and (ECON 300 or ECON 361) during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
35058,ECON,420,Economics,Introduction to Mathematical Economics,Study and development of the mathematical structure that underlies economic theory and analysis.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,-,-
25626,ECON,422,Economics,Introduction to Health Economics,"Applies microeconomic theory, industrial organization and public finance to efficiency and equity problems in the acute and chronic health-care sectors and explores solutions to these problems at an introductory level.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrolment request to: econreg@eller.arizona.edu."
12853,ECON,425,Economics,Topics in the Economic History of the United States,"Examines the economic history and development of the United States, including roles of legal and cultural institutions, changes in output mix, government regulation, income distribution, monetary policy, and demographic factors.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
38045,ECON,426,Economics,Economic Foundations for Financial Markets,"The objective of this class is to develop the economic foundations for the understanding of how financial markets and financial transactions work. Appropriate historical backgrounds, analytical frameworks, and mathematical models will be provided so that students may better understand the current economic climate. Specific topics include the micro-foundations of saving and borrowing by individuals, loan profitability for banks, personal credit risk scores, bond credit risk and default rates, Fair Credit Lending Acts, financial leverage and risk, and stock and bond market indexes.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,-
36069,ECON,427,Economics,Current Topics in Healthcare Economics and Policy,This course uses the core principles and methods of health economics to analyze current important issues in healthcare economics & policy.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"If you are currently enrolled in prerequisite courses ECON 300 or ECON 361 or intend to enroll in them during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12854,ECON,430,Economics,Monetary Economics,Analysis of the role of money and monetary policy in the macroeconomic process.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015611,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 330 or ECON 332 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12855,ECON,431,Economics,Games and Decisions,Introduction to decision theory and game theory and their application to various economic situations under conditions of complete and incomplete information.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12857,ECON,435,Economics,Public Sector Economics,"The influence of governmental revenue and expenditure decisions on resource allocation, income distribution, and aggregate economic performance.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
36370,ECON,436,Economics,Behavioral Economics,"This course explores at both the theoretical and empirical levels how psychological insights can be incorporated into economic analysis.  Fundamental techniques building on game theory, experiments, and non-parametric statistics will be developed.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
35059,ECON,439,Economics,"Law, Statistics, and Economics",The development and use of quantitative methods to determine appropriate economic damages that would be approved by the legal process.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015614,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON/AREC 339 or ECON/MGMT 276 and either ECON 300 or 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
39416,ECON,440,Economics,Behavioral Game Theory,"To introduce students to the exciting world of behavioral game theory, which brings concepts and ideas from psychology into the study of economics, to bear on situations where decision makers interact and influence each other as studied using game theory.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"It is recommended that students pass Econ 431 before enrolling in Econ 440, but it is not required."
12862,ECON,442,Economics,International Macroeconomics,"Analysis of exchange rates, balance of payments, and macroeconomic/financial interdependencies among nations.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015611,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 330 or ECON 332 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12863,ECON,443,Economics,International Trade Theory,"General equilibrium analysis of product and input markets of international trade, tariffs, commercial policy, and growth and the welfare aspects of each.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12868,ECON,452,Economics,Information Economics and the Internet,"This course will use concepts and tools from microeconomics to analyze and help students understand the internet, electronic commerce, and other facets of information technology.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
12869,ECON,453,Economics,Data Analytics and Modeling:  Quantitative Analysis for Economic Strategy,"Forecasting techniques used in business and government; assembly, interpretation and use of economic data; analysis of business conditions; examination of related environmental factors; construction of actual sales or revenue forecasts.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,"SEA - PD (Professional Development), SEC - PRO (Professionalism)",015610,"If you have issues enrolling or intend to enroll in the prerequisite courses (AREC/ECON 339 or MGMT/ECON 276) or (ECON 300 or ECON 361) during either Summer/winter session, please send your enrollment request to: econreg@eller.arizona.edu."
38052,ECON,454,Economics,Advanced Data Analytics and Modeling:  Advanced Quantitative Analysis for Economic Strategy,"The objective of the class is to develop advanced data handling, graphic visualization, and econometric methods that are used in the analysis of large/big economic and business datasets. Statistical software such as SAS will be used for statistical programming and data visualization. In addition, SQL programming may be used for data management (the accessing, cleaning, merging, and preparation of large datasets for analysis). Statistical techniques may include, but are not limited to: linear regression, panel data models, logistic regression, classification and regression trees, and analysis of variance. Lastly, students will learn how to effectively communicate their results to both a technical and non-technical audience.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,016152,-
12871,ECON,460,Economics,Industrial & Antitrust Economics,"This course uses tools from microeconomics and game theory to study the interaction of consumers, firms, industries, and governmental institutions. We focus on investigating firms' strategic behaviors and evaluating industries performances. We seek to understand how public policies, in particular, antitrust policies, create a balance between efficiency and market power.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015614,-
12872,ECON,461,Economics,Economics of Regulated Industries,"Economic analysis of the regulated sector of the American economy, including communications, transportation and energy industries; impact of existing and alternative public policies.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015609,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON 300 or ECON 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
42417,ECON,462,Economics,"Firms, Markets and Competition","In this class we bring together microeconomic models and econometric methods in order to understand firms and markets we interact with every day. We will explore how and why markets depart from perfect competition, and we will discover how these departures affect market outcomes such as prices and product quality. We will investigate the strategies firms adopt in settings of oligopolistic competition, and analyze how these strategies impact consumer and producer welfare. We will think critically about when regulation is appropriate and how to design efficient policies. Lectures will be a mixture of theoretic and empirical studies on the subject.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018862,-
36507,ECON,473,Economics,Energy Markets and Environmental Economics,Economic analysis of various markets for energy and the impact of energy production and consumption on the environment.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015610,"If you have issues enrolling or intend to enroll in the prerequisite courses (AREC/ECON 339 or MGMT/ECON 276) or (ECON 300 or ECON 361) during either Summer/winter session, please send your enrollment request to: econreg@eller.arizona.edu."
7998,ECON,478,Agricultural & Applied Econ,Economics of the Natural Environment,"Economics is used to study the allocation, management, and ownership of such natural resources as air, fisheries, forests, global resources, minerals, natural areas, oil & gas, water, and wildlife. The course is comprised of theoretical models and detailed applications - including the relationship between economic development and environment, the economics of climate change, and the economics of public land management.  Emphasis is placed on the causes and effects of alternative institutions governing the use of the natural environment with a focus on property rights, legal rules, regulations, and administrative agencies.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,CE - CL (Cross Listed),015747,-
12883,ECON,481,Economics,Economics of Wage Determination,"Applications of economic theory and empirical methods to labor supply and demand, investment in human capital, minimum wages, union effects on relative wages, and labor market discrimination.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018895,"If you have issues enrolling, please send your enrollment request to: econreg@eller.arizona.edu."
12884,ECON,482,Economics,Labor and the Economy,Macro aspects of labor economics: unemployment causes and cures; unemployment and inflation; distribution of income.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015614,"If you have issues enrolling or intend to enroll in the prerequisite courses ECON/AREC 339 or ECON/MGMT 276 and either ECON 300 or 361 during either Summer/Winter session, please send your enrollment request to: econreg@eller.arizona.edu."
35862,ECON,150C1,Economics,An Economic Perspective,"The study of the interactions of individuals and societies from the viewpoint of economics. The Course examines a series of important social problems that lie on the intersections of economics and disciplines such as law, history, anthropology, political science, psychology, and so forth.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E","Discussion, Lecture","GE - 14 (Topic 14), GE - INDV 103 (INDV 103), GE - T1-INDV (Tier 1 Individuals & Societies)",015827,-
42325,ECON,150C2,Economics,Climate Science and Economics: How Should Policy Control Warming?,"Introduces the fundamentals of climate change: what is it, what does it mean, and what to do about it.  Describes economic approaches to managing climate change.  Shows how a climate scientist's perspective leads to one set of policy recommendations and an economist's leads to another.  Students adopt these perspectives through quantitatively-based projects, with introductions to climate modeling and economic modeling.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E","Discussion, Lecture","GE - 14 (Topic 14), GE - INDV 103 (INDV 103), GE - T1-INDV (Tier 1 Individuals & Societies), GEAT - QNT (Gen Ed Attr: Quantitative Reas), GEED - BC (Gen Ed: Building Connections)",018825,-
37666,FIN,302,Finance,Personal Investing,"Personal Investing is a course focusing on the investment decision from the perspective of the individual, rather than the institutional investor. Coverage begins with discussion of establishing investment objectives and review of market efficiency. Additional course topics include risk and the principles of portfolio diversification, asset allocation, fixed income assets, equity assets, mutual funds, portfolio strategies and performance evaluation. Sources of investing information are also discussed.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,016944,"ACCT 200, ECON 200
AND either FIN 311, 360 or 301"
37674,FIN,303,Finance,Small Business Finance,"Small Business Finance is a course on the financial management of small businesses - sole proprietorships, partnerships, and small private corporations. The purposes of the course is to prepare the student to effectively plan, research, acquire, and utilize financing for a small business. Among the topics covered are economic concepts in finance; small business management functions; business organizations; elements of a business plan; financial statement analysis and forecasting; break-even analysis; working capital management; and risk management.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,016944,"ACCT 200, ECON 200, 
and either FIN 301, FIN 311, or FIN 360."
37672,FIN,304,Finance,Real Estate Principles,"Real Estate Principles covers real estate essentials including property rights, legal concepts, regulation of real estate, real estate evaluation and financing. 

This is an online course. Students are required to keep up with assignments on their own. There will be no makeup for missed or late assignments. There will also be no excuses for students who do not understand the schedule or who did not read the material on time.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,016944,"ACCT 200, ECON 200
AND Either FIN 311, 301 or 360"
42746,FIN,305,Finance,Financial Management: Applied Methods and Tools,"This course expands on and applies key methods and tools from introductory principles of financial management, with an additional emphasis on analysis and applications in Microsoft Excel. This course challenges you to apply your expanded learning to the subject company for more detailed analysis. More advanced methods will be introduced for solving time value of money problems, analyzing financial statements, and valuing stocks and bonds.  Additionally, we cover the following key topics in corporate finance: capital budgeting, short-term financial planning, working capital management, and international finance.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,019814," (Either ACCT 200 or ACCT 250) and ECON 200 and (either FIN 311, FIN 360, FIN 301, or BNAD304)"
14969,FIN,311,Finance,Introduction to Finance,Financial problems involved in the organization and conduct of business enterprise.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015044,ACCT 200 or ACCT 210.
14972,FIN,360,Finance,Quantitative Financial Management,The main objective of this course is to gain understanding of the theory and practice of financial decision making.  This course develops the tools and framework necessary to value projects and firms.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015049,-
36039,FIN,360L,Finance,Quantitative Financial Management Techniques - Majors,"This course accompanies Finance 360, which is an introduction to the basic principles of finance and the application of these principles to decisions facing the financial manager. This course meets for one hour each week. The objective is to develop and review of quantitative techniques required for FIN 360 and future finance coursework with a particular focus on Excel in finance.",1.0,1.0,No,1,1.0,"GRD - Regular Grades A, B, C, D, E",Discussion,-,017169,-
14975,FIN,391,Finance,Preceptorship,"Specialized work on an individual basis, consisting of instruction and practice in actual service in the department.",1.0,3.0,Yes,99,6.0,"SPF - Alternative Grading S, P, F",Independent Study,-,015041,-
